# Sensor Masthugget, Majorna-Linné, Sweden (Citizen Science project sensor.community/13439)
# https://aqicn.org/station/@60853/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-08-27T00:00:00.000Z,0.1,2.12,0.7,0.42,1.01,0.416,512
2020-08-28T00:00:00.000Z,0.2,1.75,0.68,0.47,0.95,0.312,459
2020-08-29T00:00:00.000Z,0.2,2.75,0.62,0.49,0.9,0.347,468
2020-08-30T00:00:00.000Z,0.3,1.67,0.7,0.5,1,0.303,422
2020-08-31T00:00:00.000Z,0,1.6,0.35,0.2,0.5,0.231,462
2020-09-01T00:00:00.000Z,0.3,21.52,0.98,0.8,1.2,1.246,404
2020-09-02T00:00:00.000Z,0.7,7.78,1.8,1.42,2.08,0.601,470
2020-09-03T00:00:00.000Z,0.5,4.25,1.8,1.4,2.35,0.809,453
2020-09-04T00:00:00.000Z,0.4,2.7,1.55,1.37,1.8,0.344,473
2020-09-05T00:00:00.000Z,0.35,2.33,1.1,0.85,1.4,0.382,469
2020-09-06T00:00:00.000Z,0.3,1.82,0.78,0.6,0.98,0.29,469
2020-09-07T00:00:00.000Z,0.1,1.6,0.5,0.35,0.7,0.267,441
2020-09-08T00:00:00.000Z,0.5,3.15,1.7,1.4,2.08,0.497,371
2020-09-09T00:00:00.000Z,0.75,5.75,2,1.6,2.46,1.006,401
2020-09-10T00:00:00.000Z,0,1.95,0.55,0.23,1,0.451,343
2020-09-11T00:00:00.000Z,0.35,3.7,1.85,0.98,2.27,0.751,311
2020-09-12T00:00:00.000Z,0.78,4.25,2.52,2.08,2.92,0.728,291
2020-09-13T00:00:00.000Z,0.8,3.85,2.2,1.8,2.6,0.575,356
2020-09-14T00:00:00.000Z,2.52,6.45,4.33,3.67,4.96,0.872,292
2020-09-15T00:00:00.000Z,4.58,16.93,8.73,7.1,11.08,2.98,251
2020-09-16T00:00:00.000Z,0.1,0.47,0.3,0.15,0.35,0.112,37
2020-09-17T00:00:00.000Z,0.1,1.17,0.3,0.23,0.53,0.256,151
2020-09-18T00:00:00.000Z,0.63,14.78,1.5,1.12,2,0.895,324
2020-09-19T00:00:00.000Z,1.9,17.37,3.72,2.83,5.53,1.96,310
2020-09-20T00:00:00.000Z,1.5,8.4,3.58,2.6,5.83,1.88,239
2020-09-21T00:00:00.000Z,0.75,10.23,2.5,1.67,5.05,2.583,214
2020-09-22T00:00:00.000Z,0.6,19.57,3.3,1.12,8.27,5.958,339
2020-09-23T00:00:00.000Z,4.17,24.35,14.06,8.21,17.84,5.377,440
2020-09-24T00:00:00.000Z,0.5,21.68,1.44,1.05,12.03,6.496,462
